year,MSA,value
2017,Miami,0.05459402742302748
2017,Minneapolis,0.0552002323011902
2017,NewYork,0.039842737763999325
2017,Philadelphia,0.0579437047932276
2017,Phoenix,0.055033639795017575
2017,SanAntonio,0.057210019016583596
2017,SanDiego,0.04867320384817605
2017,SanFrancisco,0.043900103630947804
2017,SanJose,0.045418898464326424
2017,Seattle,0.04979576066219607
2017,StLouis,0.0620588730494841
2017,Tampa,0.057310389070286676
2017,WashingtonDC,0.05383924256167138
2018,Atlanta,0.05686685842923722
2018,Baltimore,0.05718118466963145
2018,Boston,0.050455879627278176
2018,Chicago,0.0556093640668644
2018,Columbus,0.06008170978736317
2018,Dallas,0.05513864674815977
2018,Denver,0.05331185304131202
2018,Detroit,0.06466717745724096
2018,Houston,0.0560064048816438
2018,Indianapolis,0.0609732693370117
2018,Jacksonville,0.05771103635948975
2018,LosAngeles,0.045129375433375904
2018,Miami,0.05353039250967982
2018,Minneapolis,0.05416514053614225
2018,NewYork,0.042770771377908925
2018,Philadelphia,0.05580283292801442
2018,Phoenix,0.05298146415336262
2018,SanAntonio,0.05595395938089075
2018,SanDiego,0.04691682323901915
2018,SanFrancisco,0.0419942688395927
2018,SanJose,0.045165432252224996
2018,Seattle,0.04818358428372585
2018,StLouis,0.06250585299409173
2018,Tampa,0.0557695520667059
2018,WashingtonDC,0.052733501922120576
2019,Atlanta,0.05470157209194415
2019,Baltimore,0.056692127067026525
2019,Boston,0.04881921677573757
2019,Chicago,0.0548945722453132
2019,Columbus,0.060091294399210154
2019,Dallas,0.05247827308672545
2019,Denver,0.05098399879005925
2019,Detroit,0.06163099706702805
2019,Houston,0.05284664552604688
2019,Indianapolis,0.05936137341102988
2019,Jacksonville,0.055656065425137125
2019,LosAngeles,0.04494651362411735
2019,Miami,0.05135418914598247
2019,Minneapolis,0.05315492647468797
2019,NewYork,0.04514317108835088
2019,Philadelphia,0.05535960707279203
2019,Phoenix,0.05084544322890367
2019,SanAntonio,0.05450709509550172
2019,SanDiego,0.04709540641091871
2019,SanFrancisco,0.03934812718556975
2019,SanJose,0.04466705499592037
2019,Seattle,0.046807935174836925
2019,StLouis,0.06047857173795795
2019,Tampa,0.053653876436241824
2019,WashingtonDC,0.053679382892286256
2020,Atlanta,0.05176609430060463
2020,Baltimore,0.05351814975510447
2020,Boston,0.04689968943539145
2020,Chicago,0.0523164663731506
2020,Columbus,0.0569032885048916
2020,Dallas,0.05025601714277592
2020,Denver,0.04698063062475745
2020,Detroit,0.05811264423993348
2020,Houston,0.051026723673206
2020,Indianapolis,0.05488459621718767
2020,Jacksonville,0.050768512413823075
2020,LosAngeles,0.04444766397304192
2020,Miami,0.04839617389457272
2020,Minneapolis,0.04912538015346302
2020,NewYork,0.04543280261232948
2020,Philadelphia,0.05276421547122723
2020,Phoenix,0.0487009196277454
2020,SanAntonio,0.051591206827402376
2020,SanDiego,0.04527888802315257
2020,SanFrancisco,0.037954756225626926
2020,SanJose,0.0447341423350983
2020,Seattle,0.04521635461518227
2020,StLouis,0.058230860980836824
2020,Tampa,0.050604028360935444
2020,WashingtonDC,0.05025587322217655
2021,Atlanta,0.04900320895528577
2021,Baltimore,0.051873455831317604
2021,Boston,0.0443393506919641
2021,Chicago,0.049893974928462294
2021,Columbus,0.054089990932468905
2021,Dallas,0.046989234520010005
2021,Denver,0.044402830883235565
2021,Detroit,0.054530669066983097
2021,Houston,0.04935940315613121
2021,Indianapolis,0.052562660135456164
2021,Jacksonville,0.0488188254229844
2021,LosAngeles,0.043445452226497566
2021,Miami,0.04694994710047203
2021,Minneapolis,0.04749900301371566
2021,NewYork,0.04588148131442917
2021,Philadelphia,0.05002261520624977
2021,Phoenix,0.04501582006944637
2021,SanAntonio,0.04836061612698803
2021,SanDiego,0.043227838945501966
2021,SanFrancisco,0.03937970489867907
2021,SanJose,0.044737520367964405
2021,Seattle,0.04309304823059267
2021,StLouis,0.05422384271995423
2021,Tampa,0.04833603063555186
2021,WashingtonDC,0.0477408663762608
